2016-5-18
- 10: 32+32 cores, 2+100+2, 13 FPS

- 11: 32+32 cores, 2+40+2, 14 FPS
- 12: 32+32 cores, 2+50+2, 14 FPS
- 13: 32+32 cores, 2+60+2, 14 FPS
- 14: 32+32 cores, 2+80+2, 14 FPS
- 15: 32+32 cores, 2+100+2, 14 FPS

- 16: 32 cores, 1+31+1, 5 FPS
- 17: 32 cores, 1+31+1, 7 FPS
- 18: 32 cores, 1+31+1, 8 FPS
